InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,CustomerName,Email,Address,PhoneNumber,Category,Supplier,StockLevel,Discount,SaleChannel,ReturnStatus,ProductWeight,ProductDimensions,ShippingCost,SalesRegion,PromotionCode,PaymentMethod,FrequentCustomer,FrequentCountry,FrequentEmail,FrequentPhone
536367,84879,ASSORTED COLOUR BIRD ORNAMENT,32,12/01/2010 08:34,1.69,17236,Denmark,Jane Moore,jane.moore@example.com,709 Pine St,555-775-9378,Home & Garden,Supplier A,865,28.29,Online,Not Returned,6.62,77x28x69 cm,6.83,Australia,DISCOUNT5,Credit Card,Alice Jones,Denmark,alice.jones@demo.net,555-123-9595
536367,22745,POPPYS PLAYHOUSE BEDROOM,6,12/01/2010 08:34,2.1,17236,United Kingdom,Jane Jones,jane.jones@mail.com,450 Ash St,555-475-3033,Toys,Supplier B,534,47.31,In-Store,Returned,7.58,5x12x90 cm,6.43,Australia,DISCOUNT5,Credit Card,Alice Jones,Denmark,alice.jones@demo.net,555-123-9595
536394,21724,RED HARMONICA IN BOX,10,12/01/2010 09:24,1.25,17236,Germany,Alice Jones,alice.jones@demo.net,390 Broadway,555-638-2607,Toys,Supplier B,998,15.96,Online,Returned,9.06,2x88x72 cm,5.35,Europe,PROMO10,Credit Card,Alice Jones,Denmark,alice.jones@demo.net,555-123-9595
536367,22748,POPPYS PLAYHOUSE KITCHEN,6,12/01/2010 08:34,2.1,17236,United Kingdom,Grace Smith,grace.smith@mail.com,253 High St,555-990-8206,Toys,Supplier B,257,10.39,Online,Not Returned,5.13,62x94x95 cm,5.9,Australia,PROMO10,Credit Card,Alice Jones,Denmark,alice.jones@demo.net,555-123-9595
536370,22111,SCANDINAVIAN REDS RIBBONS,10,12/01/2010 09:00,1.65,17236,Denmark,Alice Jones,alice.jones@demo.net,450 Ash St,555-183-9442,Home & Garden,Supplier A,947,44.04,In-Store,Not Returned,8.79,58x31x23 cm,5.62,Europe,SALE15,Bank Transfer,Alice Jones,Denmark,alice.jones@demo.net,555-123-9595
536685,21756,DOORMAT NEW ENGLAND,10,12/01/2010 14:15,7.95,17236,Denmark,Alice Jones,alice.jones@mail.com,390 Broadway,555-955-2007,Home & Garden,Supplier A,550,38.05,Online,Returned,9.51,27x46x50 cm,6.92,Australia,SALE15,Gift Card,Alice Jones,Denmark,alice.jones@demo.net,555-123-9595
536367,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,12/01/2010 08:34,4.25,17236,Germany,Henry Jones,henry.jones@example.com,390 Broadway,555-513-7257,Home & Garden,Supplier A,902,36.88,Online,Not Returned,3.18,17x1x89 cm,7.14,Australia,DISCOUNT5,Credit Card,Alice Jones,Denmark,alice.jones@demo.net,555-123-9595
536367,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,12/01/2010 08:34,9.95,17236,Germany,Henry Wilson,henry.wilson@test.org,256 Oak St,555-123-9595,Toys,Supplier B,574,1.85,In-Store,Returned,9.37,20x5x37 cm,8.56,Australia,SALE15,Credit Card,Alice Jones,Denmark,alice.jones@demo.net,555-123-9595
536367,21755,LOVE BUILDING BLOCK WORD,3,12/01/2010 08:34,5.95,17236,United Kingdom,Alice Jones,alice.jones@test.org,709 Pine St,555-244-8705,Home & Garden,Supplier A,289,40.96,In-Store,Returned,8.46,70x88x33 cm,5.09,Australia,PROMO10,Credit Card,Alice Jones,Denmark,alice.jones@demo.net,555-123-9595
536370,21723,STRIPED CHARLIE+LOLA CHARLOTTE BAG,20,12/01/2010 09:00,2.95,17236,Germany,Henry Davis,henry.davis@test.org,547 Main St,555-218-5491,Clothing,Supplier C,140,43.74,In-Store,Returned,1.31,45x17x26 cm,6.22,Europe,PROMO10,Bank Transfer,Alice Jones,Denmark,alice.jones@demo.net,555-123-9595
536367,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,12/01/2010 08:34,3.75,17236,Germany,Grace Johnson,grace.johnson@mail.com,253 High St,555-332-3064,Toys,Supplier B,550,38.36,In-Store,Returned,5.17,40x11x36 cm,6.02,Australia,DISCOUNT5,Credit Card,Alice Jones,Denmark,alice.jones@demo.net,555-123-9595
536442,22139,RETROSPOT TEA SET CERAMIC 11 PC,6,12/01/2010 10:12,695.0,17236,Denmark,Alice Jones,alice.jones@demo.net,547 Main St,555-137-6370,Home & Garden,Supplier A,228,6.5,Online,Returned,5.44,4x93x86 cm,6.56,North America,SALE15,PayPal,Alice Jones,Denmark,alice.jones@demo.net,555-123-9595
536367,22623,BOX OF VINTAGE JIGSAW BLOCKS,-3,12/01/2010 08:34,4.95,17236,Denmark,Jane Wilson,jane.wilson@example.com,594 Market St,555-930-7016,Toys,Supplier B,669,49.06,Online,Not Returned,7.74,93x22x68 cm,7.71,Australia,SALE15,Credit Card,Alice Jones,Denmark,alice.jones@demo.net,555-123-9595
536436,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/01/2010 10:06,2.55,17674,Germany,Alice Miller,alice.miller@example.com,256 Oak St,555-108-7917,Home & Garden,Supplier A,443,5.33,Online,Returned,3.3,31x24x99 cm,5.27,Australia,PROMO10,Gift Card,Alice Miller,Germany,alice.miller@example.com,555-108-7917
536739,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,12/01/2010 15:09,4.25,17674,Germany,Bob Wilson,bob.wilson@test.org,594 Market St,555-651-3958,Home & Garden,Supplier A,504,42.23,In-Store,Not Returned,3.18,17x1x89 cm,7.14,Europe,DISCOUNT5,Cash,Alice Miller,Germany,alice.miller@example.com,555-108-7917
536401,22386,JUMBO BAG PINK POLKADOT,10,12/01/2010 09:31,1.95,17674,United Kingdom,Alice Miller,alice.miller@demo.net,450 Ash St,555-496-9684,Clothing,Supplier C,289,5.13,In-Store,Not Returned,1.29,98x46x98 cm,8.09,Europe,SALE15,Cash,Alice Miller,Germany,alice.miller@example.com,555-108-7917
536574,22745,POPPYS PLAYHOUSE BEDROOM,6,12/01/2010 12:24,210.0,17674,Germany,Alice Miller,alice.miller@example.com,815 Maple St,555-298-1959,Toys,Supplier B,613,29.75,In-Store,Returned,7.58,5x12x90 cm,6.43,Asia,DISCOUNT5,Gift Card,Alice Miller,Germany,alice.miller@example.com,555-108-7917
536739,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,12/01/2010 15:09,4.25,17674,Denmark,Alice Miller,alice.miller@example.com,390 Broadway,555-423-4173,Home & Garden,Supplier A,89,4.05,In-Store,Not Returned,3.18,17x1x89 cm,7.14,Europe,DISCOUNT5,Cash,Alice Miller,Germany,alice.miller@example.com,555-108-7917
536555,21914,BLUE HARMONICA IN BOX,12,12/01/2010 12:05,1.25,17674,Denmark,Alice Miller,alice.miller@test.org,390 Broadway,555-626-2980,Toys,Supplier B,42,24.79,In-Store,Not Returned,5.08,92x41x64 cm,5.38,South America,DISCOUNT5,Credit Card,Alice Miller,Germany,alice.miller@example.com,555-108-7917
536699,21724,RED HARMONICA IN BOX,10,12/01/2010 14:29,1.25,17674,Germany,Alice Miller,alice.miller@example.com,815 Maple St,555-723-4452,Toys,Supplier B,506,26.28,Online,Returned,9.06,2x88x72 cm,5.35,Europe,PROMO10,Bank Transfer,Alice Miller,Germany,alice.miller@example.com,555-108-7917
536602,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/01/2010 12:52,2.55,10692,United Kingdom,Alice Moore,alice.moore@demo.net,594 Market St,555-392-9234,Home & Garden,Supplier A,47,11.91,In-Store,Not Returned,3.3,31x24x99 cm,5.27,Australia,PROMO10,Credit Card,Alice Moore,United Kingdom,alice.moore@demo.net,555-392-9234
536698,22111,SCANDINAVIAN REDS RIBBONS,10,12/01/2010 14:28,1.65,10692,United Kingdom,Bob Williams,bob.williams@demo.net,883 Elm St,555-448-1832,Home & Garden,Supplier A,349,11.22,In-Store,Returned,8.79,58x31x23 cm,5.62,Australia,SALE15,Cash,Alice Moore,United Kingdom,alice.moore@demo.net,555-392-9234
536698,22634,BAKING SET 9 PIECE RETROSPOT,6,12/01/2010 14:27,4.95,10692,Germany,Alice Moore,alice.moore@test.org,709 Pine St,555-990-1951,Home & Garden,Supplier A,126,30.03,In-Store,Not Returned,5.73,39x46x29 cm,5.46,Australia,PROMO10,Cash,Alice Moore,United Kingdom,alice.moore@demo.net,555-392-9234
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/01/2010 08:26,2.55,10619,Denmark,Frank Brown,frank.brown@example.com,883 Elm St,555-915-2177,Home & Garden,Supplier A,817,47.14,In-Store,Returned,3.3,31x24x99 cm,5.27,Australia,PROMO10,Gift Card,Alice Smith,Denmark,alice.smith@example.com,555-111-2560
536365,21730,GLASS STAR FROSTED TLIGHT HOLDER,6,12/01/2010 08:26,425.0,10619,Germany,Eva Davis,eva.davis@example.com,450 Ash St,555-835-3768,Home & Garden,Supplier A,394,8.31,Online,Not Returned,1.83,47x68x76 cm,6.44,Australia,SALE15,Gift Card,Alice Smith,Denmark,alice.smith@example.com,555-111-2560
536583,21777,RECIPE BOX WITH METAL HEART,4,12/01/2010 12:33,7.95,10619,United Kingdom,Bob Miller,bob.miller@demo.net,547 Main St,555-693-4294,Home & Garden,Supplier A,365,38.18,Online,Not Returned,2.5,51x88x41 cm,5.86,North America,DISCOUNT5,Bank Transfer,Alice Smith,Denmark,alice.smith@example.com,555-111-2560
536474,22745,POPPYS PLAYHOUSE BEDROOM,6,12/01/2010 10:44,,10619,Denmark,Alice Smith,alice.smith@test.org,547 Main St,555-111-2560,Toys,Supplier B,779,26.85,Online,Returned,7.58,5x12x90 cm,6.43,Australia,DISCOUNT5,Bank Transfer,Alice Smith,Denmark,alice.smith@example.com,555-111-2560
536583,21777,RECIPE BOX WITH METAL HEART,4,12/01/2010 12:33,7.95,10619,Denmark,Alice Smith,alice.smith@example.com,594 Market St,555-722-3711,Home & Garden,Supplier A,296,34.16,In-Store,Returned,2.5,51x88x41 cm,5.86,North America,DISCOUNT5,Bank Transfer,Alice Smith,Denmark,alice.smith@example.com,555-111-2560
536365,22752,SET 7 BABUSHKA NESTING BOXES,2,12/01/2010 08:26,7.65,10619,Denmark,Jane Taylor,jane.taylor@test.org,921 Cedar St,555-584-3421,Toys,Supplier B,920,23.37,In-Store,Not Returned,1.25,9x48x72 cm,5.6,Australia,PROMO10,Gift Card,Alice Smith,Denmark,alice.smith@example.com,555-111-2560
536628,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/01/2010 13:18,3.39,10619,United Kingdom,Alice Smith,alice.smith@example.com,256 Oak St,555-375-3740,Beauty,Supplier D,481,46.72,In-Store,Returned,5.6,5x3x53 cm,5.72,Australia,PROMO10,Gift Card,Alice Smith,Denmark,alice.smith@example.com,555-111-2560
536694,22960,JAM MAKING SET WITH JARS,6,12/01/2010 14:24,4.25,10619,United Kingdom,Alice Smith,alice.smith@mail.com,815 Maple St,555-319-5033,Home & Garden,Supplier A,103,23.1,In-Store,Returned,6.46,21x80x85 cm,5.15,North America,PROMO10,PayPal,Alice Smith,Denmark,alice.smith@example.com,555-111-2560
536365,84029E,RED WOOLLY HOTTIE WHITE HEART,6,12/01/2010 08:26,3.39,10619,United Kingdom,Eva Johnson,eva.johnson@mail.com,883 Elm St,555-941-3989,Beauty,Supplier D,785,0.23,Online,Not Returned,6.41,5x33x65 cm,5.87,Australia,DISCOUNT5,Gift Card,Alice Smith,Denmark,alice.smith@example.com,555-111-2560
536365,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/01/2010 08:26,3.39,10619,United Kingdom,Alice Smith,alice.smith@demo.net,815 Maple St,555-921-2386,Beauty,Supplier D,205,11.23,In-Store,Returned,5.6,5x3x53 cm,5.72,Australia,PROMO10,Gift Card,Alice Smith,Denmark,alice.smith@example.com,555-111-2560
536365,71053,WHITE METAL LANTERN,6,12/01/2010 08:26,3.39,10619,Denmark,John Jones,john.jones@demo.net,450 Ash St,555-244-8705,Home & Garden,Supplier A,23,13.35,Online,Returned,6.36,77x81x40 cm,5.11,Australia,DISCOUNT5,Gift Card,Alice Smith,Denmark,alice.smith@example.com,555-111-2560
536365,84406B,CREAM CUPID HEARTS COAT HANGER,8,12/01/2010 08:26,2.75,10619,Denmark,Grace Moore,grace.moore@example.com,256 Oak St,555-387-5873,Home & Garden,Supplier A,334,11.02,Online,Not Returned,0.24,25x13x82 cm,7.94,Australia,SALE15,Gift Card,Alice Smith,Denmark,alice.smith@example.com,555-111-2560
536457,22960,JAM MAKING SET WITH JARS,6,12/01/2010 10:27,4.25,19607,United Kingdom,Alice Taylor,alice.taylor@demo.net,921 Cedar St,555-820-5167,Home & Garden,Supplier A,447,7.63,Online,Not Returned,6.46,21x80x85 cm,5.15,South America,PROMO10,Cash,Alice Taylor,Denmark,alice.taylor@example.com,555-113-5599
536715,22632,HAND WARMER RED POLKA DOT,6,12/01/2010 14:45,1.85,19607,Denmark,Alice Taylor,alice.taylor@mail.com,815 Maple St,555-433-1001,Clothing,Supplier C,410,4.35,In-Store,Not Returned,3.91,20x86x92 cm,5.5,North America,DISCOUNT5,Cash,Alice Taylor,Denmark,alice.taylor@example.com,555-113-5599
536473,84879,ASSORTED COLOUR BIRD ORNAMENT,32,12/01/2010 10:43,1.69,19607,Denmark,Alice Taylor,alice.taylor@test.org,450 Ash St,555-440-9320,Home & Garden,Supplier A,840,3.81,Online,Not Returned,6.62,77x28x69 cm,6.83,South America,DISCOUNT5,Bank Transfer,Alice Taylor,Denmark,alice.taylor@example.com,555-113-5599
536646,21756,DOORMAT NEW ENGLAND,10,12/01/2010 13:36,7.95,19607,Denmark,Alice Taylor,alice.taylor@example.com,594 Market St,555-600-1116,Home & Garden,Supplier A,503,41.85,In-Store,Not Returned,9.51,27x46x50 cm,6.92,South America,SALE15,Bank Transfer,Alice Taylor,Denmark,alice.taylor@example.com,555-113-5599
536715,22632,HAND WARMER RED POLKA DOT,6,12/01/2010 14:45,1.85,19607,Denmark,John Wilson,john.wilson@mail.com,253 High St,555-113-5599,Clothing,Supplier C,270,4.57,Online,Not Returned,3.91,20x86x92 cm,5.5,North America,DISCOUNT5,Cash,Alice Taylor,Denmark,alice.taylor@example.com,555-113-5599
536540,22623,BOX OF VINTAGE JIGSAW BLOCKS,3,12/01/2010 11:50,4.95,19607,Germany,Alice Taylor,alice.taylor@example.com,390 Broadway,555-987-4845,Toys,Supplier B,623,28.32,Online,Not Returned,7.74,93x22x68 cm,7.71,Australia,SALE15,PayPal,Alice Taylor,Denmark,alice.taylor@example.com,555-113-5599
536410,22386,JUMBO BAG PINK POLKADOT,10,12/01/2010 09:40,1.95,11422,United Kingdom,Alice Williams,alice.williams@example.com,921 Cedar St,555-911-4665,Clothing,Supplier C,78,21.81,In-Store,Not Returned,1.29,98x46x98 cm,8.09,South America,SALE15,Gift Card,Alice Williams,Denmark,alice.williams@example.com,555-264-7612
536458,22139,RETROSPOT TEA SET CERAMIC 11 PC,6,12/01/2010 10:28,6.95,11422,Denmark,Alice Williams,alice.williams@example.com,883 Elm St,555-395-8679,Home & Garden,Supplier A,411,31.63,In-Store,Not Returned,5.44,4x93x86 cm,6.56,Australia,SALE15,Gift Card,Alice Williams,Denmark,alice.williams@example.com,555-264-7612
536645,22960,JAM MAKING SET WITH JARS,6,12/01/2010 13:35,4.25,11422,Denmark,Bob Williams,bob.williams@test.org,921 Cedar St,555-264-7612,Home & Garden,Supplier A,572,7.69,In-Store,Not Returned,6.46,21x80x85 cm,5.15,Asia,PROMO10,Cash,Alice Williams,Denmark,alice.williams@example.com,555-264-7612
536645,22960,JAM MAKING SET WITH JARS,6,12/01/2010 13:35,4.25,11422,Germany,Alice Williams,alice.williams@example.com,709 Pine St,555-826-5223,Home & Garden,Supplier A,231,45.0,In-Store,Not Returned,6.46,21x80x85 cm,5.15,Asia,PROMO10,Cash,Alice Williams,Denmark,alice.williams@example.com,555-264-7612
536499,21724,RED HARMONICA IN BOX,10,12/01/2010 11:09,1.25,11422,United Kingdom,Alice Williams,alice.williams@test.org,921 Cedar St,555-930-7016,Toys,Supplier B,259,20.89,In-Store,Not Returned,9.06,2x88x72 cm,5.35,South America,PROMO10,Cash,Alice Williams,Denmark,alice.williams@example.com,555-264-7612
536582,21755,LOVE BUILDING BLOCK WORD,3,12/01/2010 12:32,5.95,16163,United Kingdom,Alice Wilson,alice.wilson@mail.com,921 Cedar St,555-262-4056,Home & Garden,Supplier A,303,17.09,In-Store,Not Returned,8.46,70x88x33 cm,5.09,South America,PROMO10,Credit Card,Alice Wilson,Germany,alice.wilson@mail.com,555-262-4056
536674,22745,POPPYS PLAYHOUSE BEDROOM,6,12/01/2010 14:04,2.1,16163,Germany,Alice Wilson,alice.wilson@mail.com,815 Maple St,555-972-9946,Toys,Supplier B,111,17.78,In-Store,Not Returned,7.58,5x12x90 cm,6.43,Australia,DISCOUNT5,PayPal,Alice Wilson,Germany,alice.wilson@mail.com,555-262-4056
536390,22752,SET 7 BABUSHKA NESTING BOXES,2,12/01/2010 09:20,7.65,16163,Germany,Alice Wilson,alice.wilson@test.org,594 Market St,555-267-3139,Toys,Supplier B,580,2.35,Online,Not Returned,1.25,9x48x72 cm,5.6,Australia,PROMO10,PayPal,Alice Wilson,Germany,alice.wilson@mail.com,555-262-4056
536546,21756,DOORMAT NEW ENGLAND,10,12/01/2010 11:56,7.95,16163,Germany,Alice Wilson,alice.wilson@mail.com,253 High St,555-836-4591,Home & Garden,Supplier A,228,14.43,In-Store,Returned,9.51,27x46x50 cm,6.92,Australia,SALE15,PayPal,Alice Wilson,Germany,alice.wilson@mail.com,555-262-4056
536632,22633,HAND WARMER UNION JACK,6,12/01/2010 13:22,1.85,16163,Denmark,Alice Wilson,alice.wilson@demo.net,594 Market St,555-458-5435,Clothing,Supplier C,616,24.76,In-Store,Not Returned,1.79,27x63x17 cm,5.07,Europe,SALE15,Cash,Alice Wilson,Germany,alice.wilson@mail.com,555-262-4056
536567,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/01/2010 12:17,3.39,14009,United Kingdom,Bob Brown,bob.brown@demo.net,709 Pine St,555-356-7276,Beauty,Supplier D,900,29.77,In-Store,Not Returned,5.6,5x3x53 cm,5.72,South America,PROMO10,Cash,Bob Brown,United Kingdom,bob.brown@demo.net,555-137-6370
536658,22139,RETROSPOT TEA SET CERAMIC 11 PC,-6,12/01/2010 13:48,6.95,14009,United Kingdom,Bob Brown,bob.brown@example.com,256 Oak St,555-906-8486,Home & Garden,Supplier A,625,9.07,In-Store,Returned,5.44,4x93x86 cm,6.56,Asia,SALE15,Bank Transfer,Bob Brown,United Kingdom,bob.brown@demo.net,555-137-6370
536491,22632,HAND WARMER RED POLKA DOT,6,12/01/2010 11:01,1.85,14009,Denmark,Bob Brown,bob.brown@example.com,450 Ash St,555-356-1933,Clothing,Supplier C,575,43.93,Online,Returned,3.91,20x86x92 cm,5.5,South America,DISCOUNT5,Cash,Bob Brown,United Kingdom,bob.brown@demo.net,555-137-6370
536702,71053,WHITE METAL LANTERN,6,12/01/2010 14:32,3.39,14009,United Kingdom,Bob Brown,bob.brown@demo.net,547 Main St,555-137-6370,Home & Garden,Supplier A,883,39.99,In-Store,Returned,6.36,77x81x40 cm,5.11,Australia,DISCOUNT5,Cash,Bob Brown,United Kingdom,bob.brown@demo.net,555-137-6370
536423,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,12/01/2010 09:53,3.75,14009,Denmark,Bob Brown,bob.brown@demo.net,547 Main St,555-988-4117,Toys,Supplier B,547,49.75,Online,Returned,5.17,40x11x36 cm,6.02,Europe,DISCOUNT5,Cash,Bob Brown,United Kingdom,bob.brown@demo.net,555-137-6370
536545,22960,JAM MAKING SET WITH JARS,6,12/01/2010 11:55,4.25,14009,Germany,Henry Miller,henry.miller@example.com,390 Broadway,555-857-7212,Home & Garden,Supplier A,229,47.2,Online,Returned,6.46,21x80x85 cm,5.15,South America,PROMO10,Credit Card,Bob Brown,United Kingdom,bob.brown@demo.net,555-137-6370
536545,22960,JAM MAKING SET WITH JARS,6,12/01/2010 11:55,4.25,14009,United Kingdom,Bob Brown,bob.brown@demo.net,883 Elm St,555-689-6490,Home & Garden,Supplier A,867,29.15,In-Store,Not Returned,6.46,21x80x85 cm,5.15,South America,PROMO10,Credit Card,Bob Brown,United Kingdom,bob.brown@demo.net,555-137-6370
536597,22634,BAKING SET 9 PIECE RETROSPOT,6,12/01/2010 12:47,4.95,12217,Germany,Bob Davis,bob.davis@mail.com,256 Oak St,555-704-6592,Home & Garden,Supplier A,812,33.25,In-Store,Returned,5.73,39x46x29 cm,5.46,Europe,PROMO10,Bank Transfer,Bob Davis,Germany,bob.davis@demo.net,555-111-2560
536387,21756,DOORMAT NEW ENGLAND,10,12/01/2010 09:17,7.95,12217,United Kingdom,Bob Davis,bob.davis@test.org,815 Maple St,555-754-8232,Home & Garden,Supplier A,318,30.39,Online,Not Returned,9.51,27x46x50 cm,6.92,Australia,SALE15,Bank Transfer,Bob Davis,Germany,bob.davis@demo.net,555-111-2560
